[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:38:38,640 | INFO] d1
[2019-08-24 11:38:39,353 | INFO] 08
[2019-08-24 11:38:39,366 | INFO] ae
[2019-08-24 11:38:40,082 | INFO] 77
[2019-08-24 11:38:40,101 | INFO] d1
[2019-08-24 11:38:40,807 | INFO] 08
[2019-08-24 11:38:40,820 | INFO] ae
[2019-08-24 11:38:41,537 | INFO] 77
[2019-08-24 11:38:41,555 | INFO] d1
[2019-08-24 11:38:42,259 | INFO] 08
[2019-08-24 11:38:42,271 | INFO] ae
[2019-08-24 11:38:42,984 | INFO] 77
[2019-08-24 11:38:42,990 | INFO] d1
[2019-08-24 11:38:43,708 | INFO] 08
[2019-08-24 11:38:43,720 | INFO] ae
[2019-08-24 11:38:44,433 | INFO] 77
[2019-08-24 11:38:44,450 | INFO] d1
[2019-08-24 11:38:45,156 | INFO] 08
[2019-08-24 11:38:45,174 | INFO] ae
[2019-08-24 11:38:45,882 | INFO] 77
[2019-08-24 11:38:45,894 | INFO] d1
[2019-08-24 11:38:46,624 | INFO] 08
[2019-08-24 11:38:46,636 | INFO] ae
[2019-08-24 11:38:47,347 | INFO] 77
[2019-08-24 11:38:47,365 | INFO] d1
[2019-08-24 11:38:48,055 | INFO] 08
[2019-08-24 11:38:48,069 | INFO] ae
[2019-08-24 11:38:48,784 | INFO] 77
[2019-08-24 11:38:48,796 | INFO] d1
[2019-08-24 11:38:49,510 | INFO] 08
[2019-08-24 11:38:49,522 | INFO] ae
[2019-08-24 11:38:50,249 | INFO] 77
[2019-08-24 11:38:50,261 | INFO] d1
[2019-08-24 11:38:50,959 | INFO] 08
[2019-08-24 11:38:50,971 | INFO] ae
[2019-08-24 11:38:51,684 | INFO] 77
[2019-08-24 11:38:51,697 | INFO] d1
[2019-08-24 11:38:52,409 | INFO] 08
[2019-08-24 11:38:52,422 | INFO] ae
[2019-08-24 11:38:53,141 | INFO] 77
[2019-08-24 11:38:53,160 | INFO] d1
[2019-08-24 11:38:53,870 | INFO] 08
[2019-08-24 11:38:53,894 | INFO] ae
[2019-08-24 11:38:54,590 | INFO] 77
[2019-08-24 11:38:54,608 | INFO] d1
[2019-08-24 11:38:55,324 | INFO] 08
[2019-08-24 11:38:55,340 | INFO] ae
[2019-08-24 11:38:56,040 | INFO] 77
[2019-08-24 11:38:56,052 | INFO] d1
[2019-08-24 11:38:56,761 | INFO] 08
[2019-08-24 11:38:56,773 | INFO] ae
[2019-08-24 11:38:57,491 | INFO] 77
[2019-08-24 11:38:57,509 | INFO] d1
[2019-08-24 11:38:58,213 | INFO] 08
